player_id,tournament_id,finish_numeric,true_pos,top_ten,mid_band,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
11098,401353226,0.0,91.0,0,0,-1.49,-1.48,0.41,0.28,-0.79,-2.28
9126,401353226,0.0,91.0,0,0,-0.21,-0.03,-1.96,0.41,-1.58,-1.78
10863,401353226,48.0,48.0,0,0,0.43,0.52,0.12,-0.24,0.4,0.83
5724,401353226,0.0,91.0,0,0,0.35,-0.47,-0.52,0.85,-0.13,0.22
3449,401353226,5.0,5.0,1,0,0.39,1.25,1.01,0.42,2.69,3.08
10592,401353226,55.0,55.0,0,0,-0.61,0.31,0.27,0.37,0.94,0.33
5532,401353226,0.0,91.0,0,0,-0.21,-0.2,-2.65,-1.23,-4.07,-4.28
1097,401353226,60.0,60.0,0,0,0.77,0.0,-0.38,-0.31,-0.69,0.08
9131,401353226,13.0,13.0,0,1,-0.94,0.16,2.42,0.7,3.27,2.33
4645,401353226,41.0,41.0,0,0,0.92,-0.26,0.03,0.38,0.15,1.08
4425906,401353226,3.0,3.0,1,0,0.53,0.39,0.65,1.75,2.8,3.33
9025,401353226,0.0,91.0,0,0,-3.63,0.54,-1.54,0.85,-0.15,-3.78
5830,401353226,0.0,91.0,0,0,-1.52,1.06,-1.05,0.73,0.74,-0.78
3448,401353226,0.0,91.0,0,0,-1.66,0.28,1.96,-0.87,1.37,-0.28
10054,401353226,48.0,48.0,0,0,1.28,0.27,0.01,-0.73,-0.46,0.83
10058,401353226,13.0,13.0,0,1,-0.07,-0.47,1.61,1.26,2.4,2.33
1483,401353226,55.0,55.0,0,0,-0.08,1.25,0.01,-0.84,0.41,0.33
11393,401353226,0.0,91.0,0,0,-1.6,-0.57,0.25,-0.37,-0.68,-2.28
3550,401353226,34.0,34.0,0,0,0.87,-0.51,0.63,0.34,0.46,1.33
4844,401353226,0.0,91.0,0,0,0.48,0.54,-1.36,0.56,-0.26,0.22
5860,401353226,60.0,60.0,0,0,-0.04,0.14,-0.21,0.18,0.11,0.08
576,401353226,0.0,91.0,0,0,-0.17,-1.2,1.32,0.26,0.39,0.22
5504,401353226,0.0,91.0,0,0,-0.53,0.46,-0.68,-0.53,-0.75,-1.28
6991,401353226,48.0,48.0,0,0,-1.27,1.22,0.97,-0.09,2.1,0.83
619,401353226,0.0,91.0,0,0,0.5,-0.07,-0.27,0.06,-0.29,0.22
6196,401353226,0.0,91.0,0,0,-0.11,0.25,-1.78,-0.15,-1.67,-1.78
97,401353226,0.0,91.0,0,0,-0.38,0.16,-0.1,-0.97,-0.91,-1.28
1680,401353226,55.0,55.0,0,0,0.6,0.54,-0.93,0.13,-0.27,0.33
110,401353226,0.0,91.0,0,0,-0.46,1.23,-1.78,0.23,-0.32,-0.78
5825,401353226,71.0,71.0,0,0,0.04,-0.5,0.49,-0.71,-0.72,-0.67
4602673,401353226,0.0,91.0,0,0,-3.04,0.95,-1.93,-0.26,-1.24,-4.28
3317,401353226,60.0,60.0,0,0,0.24,0.39,-1.03,0.49,-0.16,0.08
